Info 0    [00:12:50.691] Starting TS Server
Info 1    [00:12:50.694] Version: 4.1.2
Info 2    [00:12:50.694] Arguments: /usr/local/bin/node /home/steiner/.emacs.d/.cache/lsp/npm/typescript/bin/tsserver --logFile /home/steiner/school-work/watchlist/.log/tsserver.log --logVerbosity info --cancellationPipeName /tmp/35811f332aad0541da25993942c00833/tscancellation*
Info 3    [00:12:50.694] Platform: linux NodeVersion: 12 CaseSensitive: true
Info 4    [00:12:50.694] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [00:12:50.706] Search path: /home/steiner/school-work/watchlist/frontend/src/router
Info 6    [00:12:50.707] For info: /home/steiner/school-work/watchlist/frontend/src/router/index.js :: No config files found.
Info 7    [00:12:50.715] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 8    [00:12:53.020] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true Elapsed: 2305.447723031044ms
Info 9    [00:12:53.021] Project '/dev/null/inferredProject1*' (Inferred)
Info 10   [00:12:53.021] 	Files (129)

Info 11   [00:12:53.021] -----------------------------------------------
Info 12   [00:12:53.031] Starting updateGraphWorker: Project: /dev/null/autoImportProviderProject1*
Info 13   [00:12:53.035] Finishing updateGraphWorker: Project: /dev/null/autoImportProviderProject1* Version: 1 structureChanged: true Elapsed: 3.9311630725860596ms
Info 14   [00:12:53.035] Project '/dev/null/autoImportProviderProject1*' (AutoImportProvider)
Info 15   [00:12:53.035] 	Files (1)

Info 16   [00:12:53.035] -----------------------------------------------
Info 17   [00:12:53.540] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 18   [00:12:53.599] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: true Elapsed: 58.14882302284241ms
Info 19   [00:12:53.599] Different program with same set of files:: structureIsReused:: 1
Info 20   [00:12:53.600] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 21   [00:12:53.636] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: true Elapsed: 36.07713496685028ms
Info 22   [00:12:53.636] Different program with same set of files:: structureIsReused:: 1
Info 23   [00:12:55.404] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 24   [00:12:55.469] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: true Elapsed: 64.5469720363617ms
Info 25   [00:12:55.469] Different program with same set of files:: structureIsReused:: 1
Info 26   [00:12:56.153] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 27   [00:12:56.196] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: true Elapsed: 43.398576974868774ms
Info 28   [00:12:56.196] Different program with same set of files:: structureIsReused:: 1
Info 29   [00:12:56.755] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 30   [00:12:56.787] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false Elapsed: 31.915664076805115ms
Info 31   [00:12:56.787] Different program with same set of files:: structureIsReused:: 2
Info 32   [00:12:58.402] Before ensureProjectForOpenFiles:
Info 33   [00:12:58.402] After ensureProjectForOpenFiles:
Info 34   [00:12:58.402] got projects updated in background, updating diagnostics for /home/steiner/school-work/watchlist/frontend/src/router/index.js
Info 35   [00:12:59.100] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 36   [00:12:59.124] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 7 structureChanged: false Elapsed: 23.288990020751953ms
Info 37   [00:12:59.124] Different program with same set of files:: structureIsReused:: 2
Info 38   [00:12:59.594] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 39   [00:12:59.628] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 8 structureChanged: false Elapsed: 33.45859897136688ms
Info 40   [00:12:59.628] Different program with same set of files:: structureIsReused:: 2
Info 41   [00:12:59.949] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 42   [00:12:59.979] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 9 structureChanged: false Elapsed: 29.240929007530212ms
Info 43   [00:12:59.979] Different program with same set of files:: structureIsReused:: 2
Info 44   [00:12:59.980] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 45   [00:13:00.007] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 10 structureChanged: false Elapsed: 27.166672945022583ms
Info 46   [00:13:00.007] Different program with same set of files:: structureIsReused:: 2
Info 47   [00:13:00.414] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 48   [00:13:00.428] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 11 structureChanged: false Elapsed: 13.182316064834595ms
Info 49   [00:13:00.428] Different program with same set of files:: structureIsReused:: 2
Info 50   [00:13:00.895] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 51   [00:13:00.907] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 12 structureChanged: false Elapsed: 12.424600958824158ms
Info 52   [00:13:00.907] Different program with same set of files:: structureIsReused:: 2
Info 53   [00:13:02.508] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 54   [00:13:02.531] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 13 structureChanged: false Elapsed: 22.565987944602966ms
Info 55   [00:13:02.531] Different program with same set of files:: structureIsReused:: 2
Info 56   [00:13:03.062] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 57   [00:13:03.124] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 14 structureChanged: true Elapsed: 61.59402799606323ms
Info 58   [00:13:03.124] Different program with same set of files:: structureIsReused:: 1
Info 59   [00:13:04.514] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 60   [00:13:04.555] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 15 structureChanged: false Elapsed: 40.90004003047943ms
Info 61   [00:13:04.555] Different program with same set of files:: structureIsReused:: 2
Info 62   [00:13:04.830] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
